Source,Target,Type,Id,Label,Interval,Weight,Distance
5,1,Directed,0,11110,,,-2
9,17,Directed,1,1010110,,,4
13,5,Directed,2,1110,,,-4
17,13,Directed,3,110,,,-2
21,1,Directed,4,1111110,,,-10
25,29,Directed,5,10110,,,2
29,17,Directed,6,101110,,,-6
33,25,Directed,7,110,,,-4
37,17,Directed,8,101011110,,,-10
41,161,Directed,9,10101010110,,,60
45,17,Directed,10,1110,,,-14
49,37,Directed,11,110,,,-6
53,5,Directed,12,111110,,,-24
57,65,Directed,13,10110,,,4
61,53,Directed,14,10101110,,,-4
65,49,Directed,15,110,,,-8
69,13,Directed,16,11110,,,-28
73,125,Directed,17,1010110,,,26
77,29,Directed,18,1110,,,-24
81,61,Directed,19,110,,,-10
85,1,Directed,20,111111110,,,-42
89,101,Directed,21,10110,,,6
93,53,Directed,22,101110,,,-20
97,73,Directed,23,110,,,-12
101,29,Directed,24,1011110,,,-36
105,269,Directed,25,101010110,,,82
109,41,Directed,26,1110,,,-34
113,85,Directed,27,110,,,-14
117,17,Directed,28,10111110,,,-50
121,137,Directed,29,10110,,,8
125,161,Directed,30,1010101110,,,18
129,97,Directed,31,110,,,-16
133,25,Directed,32,11110,,,-54
137,233,Directed,33,1010110,,,48
141,53,Directed,34,1110,,,-44
145,109,Directed,35,110,,,-18
149,17,Directed,36,10101111110,,,-66
153,173,Directed,37,10110,,,10
157,89,Directed,38,101110,,,-34
161,121,Directed,39,110,,,-20
165,161,Directed,40,1010101011110,,,-2
169,1457,Directed,41,101010101010110,,,644
173,65,Directed,42,1110,,,-54
177,133,Directed,43,110,,,-22
181,17,Directed,44,111110,,,-82
185,209,Directed,45,10110,,,12
189,161,Directed,46,10101110,,,-14
193,145,Directed,47,110,,,-24
197,37,Directed,48,11110,,,-80
201,341,Directed,49,1010110,,,70
205,77,Directed,50,1110,,,-64
209,157,Directed,51,110,,,-26
213,5,Directed,52,11111110,,,-104
217,245,Directed,53,10110,,,14
221,125,Directed,54,101110,,,-48
225,169,Directed,55,110,,,-28
229,65,Directed,56,1011110,,,-82
233,593,Directed,57,101010110,,,180
237,89,Directed,58,1110,,,-74
241,181,Directed,59,110,,,-30
245,53,Directed,60,1010111110,,,-96
249,281,Directed,61,10110,,,16
253,485,Directed,62,101010101110,,,116
257,193,Directed,63,110,,,-32
261,49,Directed,64,11110,,,-106
265,449,Directed,65,1010110,,,92
269,101,Directed,66,1110,,,-84
273,205,Directed,67,110,,,-34
277,13,Directed,68,1111110,,,-132
281,317,Directed,69,10110,,,18
285,161,Directed,70,101110,,,-62
289,217,Directed,71,110,,,-36
293,125,Directed,72,101011110,,,-84
297,1133,Directed,73,10101010110,,,418
301,113,Directed,74,1110,,,-94
305,229,Directed,75,110,,,-38
309,29,Directed,76,111110,,,-140
313,353,Directed,77,10110,,,20
317,269,Directed,78,10101110,,,-24
321,241,Directed,79,110,,,-40
325,61,Directed,80,11110,,,-132
329,557,Directed,81,1010110,,,114
333,125,Directed,82,1110,,,-104
337,253,Directed,83,110,,,-42
341,1,Directed,84,11111111110,,,-170
345,389,Directed,85,10110,,,22
349,197,Directed,86,101110,,,-76
353,265,Directed,87,110,,,-44
357,101,Directed,88,1011110,,,-128
361,917,Directed,89,101010110,,,278
365,137,Directed,90,1110,,,-114
369,277,Directed,91,110,,,-46
373,53,Directed,92,10111110,,,-160
377,425,Directed,93,10110,,,24
381,485,Directed,94,1010101110,,,52
385,289,Directed,95,110,,,-48
389,73,Directed,96,11110,,,-158
393,665,Directed,97,1010110,,,136
397,149,Directed,98,1110,,,-124
401,301,Directed,99,110,,,-50
405,29,Directed,100,101111110,,,-188
409,461,Directed,101,10110,,,26
413,233,Directed,102,101110,,,-90
417,313,Directed,103,110,,,-52
421,269,Directed,104,10101011110,,,-76
425,2429,Directed,105,1010101010110,,,1002
429,161,Directed,106,1110,,,-134
433,325,Directed,107,110,,,-54
437,41,Directed,108,111110,,,-198
441,497,Directed,109,10110,,,28
445,377,Directed,110,10101110,,,-34
449,337,Directed,111,110,,,-56
453,85,Directed,112,11110,,,-184
457,773,Directed,113,1010110,,,158
461,173,Directed,114,1110,,,-144
465,349,Directed,115,110,,,-58
469,17,Directed,116,1011111110,,,-226
473,533,Directed,117,10110,,,30
477,269,Directed,118,101110,,,-104
481,361,Directed,119,110,,,-60
485,137,Directed,120,1011110,,,-174
489,1241,Directed,121,101010110,,,376
493,185,Directed,122,1110,,,-154
497,373,Directed,123,110,,,-62
501,161,Directed,124,101010111110,,,-170
505,569,Directed,125,10110,,,32
509,1457,Directed,126,10101010101110,,,474
513,385,Directed,127,110,,,-64
517,97,Directed,128,11110,,,-210
521,881,Directed,129,1010110,,,180
525,197,Directed,130,1110,,,-164
529,397,Directed,131,110,,,-66
533,25,Directed,132,1111110,,,-254
537,605,Directed,133,10110,,,34
541,305,Directed,134,101110,,,-118
545,409,Directed,135,110,,,-68
549,233,Directed,136,101011110,,,-158
553,2105,Directed,137,10101010110,,,776
557,209,Directed,138,1110,,,-174
561,421,Directed,139,110,,,-70
565,53,Directed,140,111110,,,-256
569,641,Directed,141,10110,,,36
573,485,Directed,142,10101110,,,-44
577,433,Directed,143,110,,,-72
581,109,Directed,144,11110,,,-236
585,989,Directed,145,1010110,,,202
589,221,Directed,146,1110,,,-184
593,445,Directed,147,110,,,-74
597,17,Directed,148,1010111111110,,,-290
601,677,Directed,149,10110,,,38
605,341,Directed,150,101110,,,-132
609,457,Directed,151,110,,,-76
613,173,Directed,152,1011110,,,-220
617,1565,Directed,153,101010110,,,474
621,233,Directed,154,1110,,,-194
625,469,Directed,155,110,,,-78
629,89,Directed,156,10111110,,,-270
633,713,Directed,157,10110,,,40
637,809,Directed,158,1010101110,,,86
641,481,Directed,159,110,,,-80
645,121,Directed,160,11110,,,-262
649,1097,Directed,161,1010110,,,224
653,245,Directed,162,1110,,,-204
657,493,Directed,163,110,,,-82
661,161,Directed,164,101010101111110,,,-250
665,749,Directed,165,10110,,,42
669,377,Directed,166,101110,,,-146
673,505,Directed,167,110,,,-84
677,1457,Directed,168,10101010101011110,,,390
681,13121,Directed,169,1010101010101010110,,,6220
685,257,Directed,170,1110,,,-214
689,517,Directed,171,110,,,-86
693,65,Directed,172,111110,,,-314
697,785,Directed,173,10110,,,44
701,593,Directed,174,10101110,,,-54
705,529,Directed,175,110,,,-88
709,133,Directed,176,11110,,,-288
713,1205,Directed,177,1010110,,,246
717,269,Directed,178,1110,,,-224
721,541,Directed,179,110,,,-90
725,17,Directed,180,11111110,,,-354
729,821,Directed,181,10110,,,46
733,413,Directed,182,101110,,,-160
737,553,Directed,183,110,,,-92
741,209,Directed,184,1011110,,,-266
745,1889,Directed,185,101010110,,,572
749,281,Directed,186,1110,,,-234
753,565,Directed,187,110,,,-94
757,161,Directed,188,1010111110,,,-298
761,857,Directed,189,10110,,,48
765,1457,Directed,190,101010101110,,,346
769,577,Directed,191,110,,,-96
773,145,Directed,192,11110,,,-314
777,1313,Directed,193,1010110,,,268
781,293,Directed,194,1110,,,-244
785,589,Directed,195,110,,,-98
789,37,Directed,196,1111110,,,-376
793,893,Directed,197,10110,,,50
797,449,Directed,198,101110,,,-174
801,601,Directed,199,110,,,-100
805,341,Directed,200,101011110,,,-232
809,3077,Directed,201,10101010110,,,1134
813,305,Directed,202,1110,,,-254
817,613,Directed,203,110,,,-102
821,77,Directed,204,111110,,,-372
825,929,Directed,205,10110,,,52
829,701,Directed,206,10101110,,,-64
833,625,Directed,207,110,,,-104
837,157,Directed,208,11110,,,-340
841,1421,Directed,209,1010110,,,290
845,317,Directed,210,1110,,,-264
849,637,Directed,211,110,,,-106
853,5,Directed,212,1111111110,,,-424
857,965,Directed,213,10110,,,54
861,485,Directed,214,101110,,,-188
865,649,Directed,215,110,,,-108
869,245,Directed,216,1011110,,,-312
873,2213,Directed,217,101010110,,,670
877,329,Directed,218,1110,,,-274
881,661,Directed,219,110,,,-110
885,125,Directed,220,10111110,,,-380
889,1001,Directed,221,10110,,,56
893,1133,Directed,222,1010101110,,,120
897,673,Directed,223,110,,,-112
901,169,Directed,224,11110,,,-366
905,1529,Directed,225,1010110,,,312
909,341,Directed,226,1110,,,-284
913,685,Directed,227,110,,,-114
917,65,Directed,228,101111110,,,-426
921,1037,Directed,229,10110,,,58
925,521,Directed,230,101110,,,-202
929,697,Directed,231,110,,,-116
933,593,Directed,232,10101011110,,,-170
937,5345,Directed,233,1010101010110,,,2204
941,353,Directed,234,1110,,,-294
945,709,Directed,235,110,,,-118
949,89,Directed,236,111110,,,-430
953,1073,Directed,237,10110,,,60
957,809,Directed,238,10101110,,,-74
961,721,Directed,239,110,,,-120
965,181,Directed,240,11110,,,-392
969,1637,Directed,241,1010110,,,334
973,365,Directed,242,1110,,,-304
977,733,Directed,243,110,,,-122
981,53,Directed,244,101011111110,,,-464
985,1109,Directed,245,10110,,,62
989,557,Directed,246,101110,,,-216
993,745,Directed,247,110,,,-124
997,281,Directed,248,1011110,,,-358
1001,2537,Directed,249,101010110,,,768
1005,377,Directed,250,1110,,,-314
1009,757,Directed,251,110,,,-126
1013,485,Directed,252,10101010111110,,,-264
1017,1145,Directed,253,10110,,,64
1021,4373,Directed,254,1010101010101110,,,1676
1025,769,Directed,255,110,,,-128
1029,193,Directed,256,11110,,,-418
1033,1745,Directed,257,1010110,,,356
1037,389,Directed,258,1110,,,-324
1041,781,Directed,259,110,,,-130
1045,49,Directed,260,1111110,,,-498
1049,1181,Directed,261,10110,,,66
1053,593,Directed,262,101110,,,-230
1057,793,Directed,263,110,,,-132
1061,449,Directed,264,101011110,,,-306
1065,4049,Directed,265,10101010110,,,1492
1069,401,Directed,266,1110,,,-334
1073,805,Directed,267,110,,,-134
1077,101,Directed,268,111110,,,-488
1081,1217,Directed,269,10110,,,68
1085,917,Directed,270,10101110,,,-84
1089,817,Directed,271,110,,,-136
1093,205,Directed,272,11110,,,-444
1097,1853,Directed,273,1010110,,,378
1101,413,Directed,274,1110,,,-344
1105,829,Directed,275,110,,,-138
1109,13,Directed,276,111111110,,,-548
1113,1253,Directed,277,10110,,,70
1117,629,Directed,278,101110,,,-244
1121,841,Directed,279,110,,,-140
1125,317,Directed,280,1011110,,,-404
1129,2861,Directed,281,101010110,,,866
1133,425,Directed,282,1110,,,-354
1137,853,Directed,283,110,,,-142
1141,161,Directed,284,10111110,,,-490
1145,1289,Directed,285,10110,,,72
1149,1457,Directed,286,1010101110,,,154
1153,865,Directed,287,110,,,-144
1157,217,Directed,288,11110,,,-470
1161,1961,Directed,289,1010110,,,400
1165,437,Directed,290,1110,,,-364
1169,877,Directed,291,110,,,-146
1173,125,Directed,292,10101111110,,,-524
1177,1325,Directed,293,10110,,,74
1181,665,Directed,294,101110,,,-258
1185,889,Directed,295,110,,,-148
1189,1133,Directed,296,1010101011110,,,-28
1193,10205,Directed,297,101010101010110,,,4506
1197,449,Directed,298,1110,,,-374
1201,901,Directed,299,110,,,-150
1205,113,Directed,300,111110,,,-546
1209,1361,Directed,301,10110,,,76
1213,1025,Directed,302,10101110,,,-94
1217,913,Directed,303,110,,,-152
1221,229,Directed,304,11110,,,-496
1225,2069,Directed,305,1010110,,,422
1229,461,Directed,306,1110,,,-384
1233,925,Directed,307,110,,,-154
1237,29,Directed,308,11111110,,,-604
1241,1397,Directed,309,10110,,,78
1245,701,Directed,310,101110,,,-272
1249,937,Directed,311,110,,,-156
1253,353,Directed,312,1011110,,,-450
1257,3185,Directed,313,101010110,,,964
1261,473,Directed,314,1110,,,-394
1265,949,Directed,315,110,,,-158
1269,269,Directed,316,1010111110,,,-500
1273,1433,Directed,317,10110,,,80
1277,2429,Directed,318,101010101110,,,576
1281,961,Directed,319,110,,,-160
1285,241,Directed,320,11110,,,-522
1289,2177,Directed,321,1010110,,,444
1293,485,Directed,322,1110,,,-404
1297,973,Directed,323,110,,,-162
1301,61,Directed,324,1111110,,,-620
1305,1469,Directed,325,10110,,,82
1309,737,Directed,326,101110,,,-286
1313,985,Directed,327,110,,,-164
1317,557,Directed,328,101011110,,,-380
1321,5021,Directed,329,10101010110,,,1850
1325,497,Directed,330,1110,,,-414
1329,997,Directed,331,110,,,-166
1333,125,Directed,332,111110,,,-604
1337,1505,Directed,333,10110,,,84
1341,1133,Directed,334,10101110,,,-104
1345,1009,Directed,335,110,,,-168
1349,253,Directed,336,11110,,,-548
1353,2285,Directed,337,1010110,,,466
1357,509,Directed,338,1110,,,-424
1361,1021,Directed,339,110,,,-170
1365,1,Directed,340,1111111111110,,,-682
1369,1541,Directed,341,10110,,,86
1373,773,Directed,342,101110,,,-300
1377,1033,Directed,343,110,,,-172
1381,389,Directed,344,1011110,,,-496
1385,3509,Directed,345,101010110,,,1062
1389,521,Directed,346,1110,,,-434
1393,1045,Directed,347,110,,,-174
1397,197,Directed,348,10111110,,,-600
1401,1577,Directed,349,10110,,,88
1405,1781,Directed,350,1010101110,,,188
1409,1057,Directed,351,110,,,-176
1413,265,Directed,352,11110,,,-574
1417,2393,Directed,353,1010110,,,488
1421,533,Directed,354,1110,,,-444
1425,1069,Directed,355,110,,,-178
1429,101,Directed,356,101111110,,,-664
1433,1613,Directed,357,10110,,,90
1437,809,Directed,358,101110,,,-314
1441,1081,Directed,359,110,,,-180
