Id,Label,Interval,Mod64
5,5,,5
1,1,,1
9,9,,9
17,17,,17
13,13,,13
21,21,,21
25,25,,25
29,29,,29
33,33,,33
37,37,,37
41,41,,41
161,161,,33
45,45,,45
49,49,,49
53,53,,53
57,57,,57
65,65,,1
61,61,,61
69,69,,5
73,73,,9
125,125,,61
77,77,,13
81,81,,17
85,85,,21
89,89,,25
101,101,,37
93,93,,29
97,97,,33
105,105,,41
269,269,,13
109,109,,45
113,113,,49
117,117,,53
121,121,,57
137,137,,9
129,129,,1
133,133,,5
233,233,,41
141,141,,13
145,145,,17
149,149,,21
153,153,,25
173,173,,45
157,157,,29
165,165,,37
169,169,,41
1457,1457,,49
177,177,,49
181,181,,53
185,185,,57
209,209,,17
189,189,,61
193,193,,1
197,197,,5
201,201,,9
341,341,,21
205,205,,13
213,213,,21
217,217,,25
245,245,,53
221,221,,29
225,225,,33
229,229,,37
593,593,,17
237,237,,45
241,241,,49
249,249,,57
281,281,,25
253,253,,61
485,485,,37
257,257,,1
261,261,,5
265,265,,9
449,449,,1
273,273,,17
277,277,,21
317,317,,61
285,285,,29
289,289,,33
293,293,,37
297,297,,41
1133,1133,,45
301,301,,45
305,305,,49
309,309,,53
313,313,,57
353,353,,33
321,321,,1
325,325,,5
329,329,,9
557,557,,45
333,333,,13
337,337,,17
345,345,,25
389,389,,5
349,349,,29
357,357,,37
361,361,,41
917,917,,21
365,365,,45
369,369,,49
373,373,,53
377,377,,57
425,425,,41
381,381,,61
385,385,,1
393,393,,9
665,665,,25
397,397,,13
401,401,,17
405,405,,21
409,409,,25
461,461,,13
413,413,,29
417,417,,33
421,421,,37
2429,2429,,61
429,429,,45
433,433,,49
437,437,,53
441,441,,57
497,497,,49
445,445,,61
453,453,,5
457,457,,9
773,773,,5
465,465,,17
469,469,,21
473,473,,25
533,533,,21
477,477,,29
481,481,,33
489,489,,41
1241,1241,,25
493,493,,45
501,501,,53
505,505,,57
569,569,,57
509,509,,61
513,513,,1
517,517,,5
521,521,,9
881,881,,49
525,525,,13
529,529,,17
537,537,,25
605,605,,29
541,541,,29
545,545,,33
549,549,,37
553,553,,41
2105,2105,,57
561,561,,49
565,565,,53
641,641,,1
573,573,,61
577,577,,1
581,581,,5
585,585,,9
989,989,,29
589,589,,13
597,597,,21
601,601,,25
677,677,,37
609,609,,33
613,613,,37
617,617,,41
1565,1565,,29
621,621,,45
625,625,,49
629,629,,53
633,633,,57
713,713,,9
637,637,,61
809,809,,41
645,645,,5
649,649,,9
1097,1097,,9
653,653,,13
657,657,,17
661,661,,21
749,749,,45
669,669,,29
673,673,,33
681,681,,41
13121,13121,,1
685,685,,45
689,689,,49
693,693,,53
697,697,,57
785,785,,17
701,701,,61
705,705,,1
709,709,,5
1205,1205,,53
717,717,,13
721,721,,17
725,725,,21
729,729,,25
821,821,,53
733,733,,29
737,737,,33
741,741,,37
745,745,,41
1889,1889,,33
753,753,,49
757,757,,53
761,761,,57
857,857,,25
