	dir	ns	predicate	expanded	description
0	ddos	ddos	type	Type	Types and techniques described the way that the attack is performed to launch the Denial of Service attacks. A combination of type values can be used to explain combined techniques and methods.
1	coa	coa	discover	Search historical data for an indicator.	
2	coa	coa	detect	Set up a detection rule for an indicator for future alerting.	
3	coa	coa	deny	Prevent an event from taking place.	
4	coa	coa	disrupt	Make an event fail when it is taking place.	
5	coa	coa	degrade	Slow down attacker activity; reduce attacker efficiency.	
6	coa	coa	deceive	Pretend only that an action was successful or provide misinformation to the attacker.	
7	coa	coa	destroy	Offensive action against the attacker.	
8	monarc-threat	monarc-threat	compromise-of-functions	Compromise of functions	
9	monarc-threat	monarc-threat	unauthorised-actions	Unauthorised actions	
10	monarc-threat	monarc-threat	compromise-of-information	Compromise of information	
11	monarc-threat	monarc-threat	loss-of-essential-services	Loss of essential services	
12	monarc-threat	monarc-threat	technical-failures	Technical failures	
13	monarc-threat	monarc-threat	physical-damage	Physical damage	
14	veris	veris	confidence		
15	veris	veris	cost_corrective_action		
16	veris	veris	discovery_method		
17	veris	veris	security_incident		
18	veris	veris	targeted		
19	veris	veris	asset:accessibility		
20	veris	veris	asset:cloud		
21	veris	veris	asset:country		
22	veris	veris	asset:governance		
23	veris	veris	asset:hosting		
24	veris	veris	asset:management		
25	veris	veris	asset:ownership		
26	veris	veris	impact:iso_currency_code		
27	veris	veris	impact:overall_rating		
28	veris	veris	victim:country		
29	veris	veris	victim:employee_count		
30	veris	veris	action:environmental:variety		
31	veris	veris	action:error:variety		
32	veris	veris	action:error:vector		
33	veris	veris	action:hacking:result		
34	veris	veris	action:hacking:variety		
35	veris	veris	action:hacking:vector		
36	veris	veris	action:malware:result		
37	veris	veris	action:malware:variety		
38	veris	veris	action:malware:vector		
39	veris	veris	action:misuse:result		
40	veris	veris	action:misuse:variety		
41	veris	veris	action:misuse:vector		
42	veris	veris	action:physical:result		
43	veris	veris	action:physical:variety		
44	veris	veris	action:physical:vector		
45	veris	veris	action:social:result		
46	veris	veris	action:social:target		
47	veris	veris	action:social:variety		
48	veris	veris	action:social:vector		
49	veris	veris	action:unknown:result		
50	veris	veris	actor:external:country		
51	veris	veris	actor:external:motive		
52	veris	veris	actor:external:variety		
53	veris	veris	actor:internal:job_change		
54	veris	veris	actor:internal:motive		
55	veris	veris	actor:internal:variety		
56	veris	veris	actor:partner:country		
57	veris	veris	actor:partner:motive		
58	veris	veris	asset:assets:variety		
59	veris	veris	attribute:availability:variety		
60	veris	veris	attribute:confidentiality:data_disclosure		
61	veris	veris	attribute:confidentiality:data_victim		
62	veris	veris	attribute:confidentiality:state		
63	veris	veris	attribute:integrity:variety		
64	veris	veris	impact:loss:rating		
65	veris	veris	impact:loss:variety		
66	veris	veris	timeline:compromise:unit		
67	veris	veris	timeline:containment:unit		
68	veris	veris	timeline:discovery:unit		
69	veris	veris	timeline:exfiltration:unit		
70	veris	veris	victim:revenue:iso_currency_code		
71	veris	veris	attribute:availability:duration:unit		
72	veris	veris	attribute:confidentiality:data:variety		
73	dni-ism	dni-ism	classification:all	ClassificationAll	
74	dni-ism	dni-ism	classification:us	ClassificationUS	
75	dni-ism	dni-ism	scicontrols	SCIControls	
76	dni-ism	dni-ism	complies:with	CompliesWith	
77	dni-ism	dni-ism	atomicenergymarkings	atomicEnergyMarkings	
78	dni-ism	dni-ism	notice	Notice	
79	dni-ism	dni-ism	nonic	NonIC	
80	dni-ism	dni-ism	nonuscontrols	NonUSControls	
81	dni-ism	dni-ism	dissem	Dissem	
82	ais-marking	ais-marking	TLPMarking	TLP Marking	
83	ais-marking	ais-marking	AISConsent	AIS Consent	
84	ais-marking	ais-marking	CISA_Proprietary	CISA Proprietary	
85	ais-marking	ais-marking	AISMarking	AIS Marking	
86	cccs	cccs	event	Event type	Type of event associated to the internal reference
87	cccs	cccs	disclosure-type	Disclosure type	Type of information being disclosed.
88	cccs	cccs	domain-category	Domain category	The Domain Category.
89	cccs	cccs	email-type	Email type	Type of email event.
90	cccs	cccs	exploitation-technique	Exploitation technique	The technique used to remotely exploit a GoC system.
91	cccs	cccs	ip-category	Ip category	The IP Category.
92	cccs	cccs	maliciousness	Maliciousness	Level of maliciousness.
93	cccs	cccs	malware-category	Malware category	The Malware Category.
94	cccs	cccs	misusage-type	Misusage type	The type of misusage.
95	cccs	cccs	mitigation-type	Mitigation type	The type of mitigation.
96	cccs	cccs	origin	Origin	Where the request originated from.
97	cccs	cccs	originating-organization	Originating organization	Origin of a signature.
98	cccs	cccs	scan-type	Scan type	The type of scan event.
99	cccs	cccs	severity	Severity	Severity of the event.
100	cccs	cccs	threat-vector	Threat vector	Specifies how the threat actor gained or attempted to gain initial access to the target GoC host.
101	circl	circl	incident-classification	Incident Classification	
102	circl	circl	topic	Topic	
103	access-method	access-method	brute-force	Brute force	Access was gained through systematic trial of credentials in bulk.
104	access-method	access-method	password-guessing	Password guessing	Access was gained through guessing passwords through trial and error.
105	access-method	access-method	remote-desktop-application	Remote desktop application	Access was gained through an application designed for remote access.
106	access-method	access-method	stolen-credentials	Stolen credentials	Access was gained with stolen credentials.
107	access-method	access-method	pass-the-hash	Pass the hash	Access was gained through use of an existing known hash.
108	access-method	access-method	default-credentials	Default credentials	Access was gained through use of the system's default credentials.
109	access-method	access-method	shell	Shell	Access was gained through the use of a shell.
110	access-method	access-method	other	Other	Access was gained through another method.
111	ioc	ioc	artifact-state	Artifact State	
112	stix-ttp	stix-ttp	victim-targeting	Victim Targeting	
113	iep2-policy	iep2-policy	id	POLICY ID	Provides a unique ID to identify a specific IEP policy.
114	iep2-policy	iep2-policy	name	POLICY NAME	This statement can be used to provide a name for an IEP policy.
115	iep2-policy	iep2-policy	description	POLICY DESCRIPTION	This statement can be used to provide more details as a background for an IEP policy.
116	iep2-policy	iep2-policy	iep_version	IEP POLICY VERSION	States the version of the IEP framework that has been used. Must be set to 2.0.
117	iep2-policy	iep2-policy	start_date	POLICY START DATE	States the UTC date that the IEP is effective from.
118	iep2-policy	iep2-policy	end_date	POLICY END DATE	States the UTC date that the IEP is effective until.
119	iep2-policy	iep2-policy	encrypt_in_transit	ENCRYPT IN TRANSIT	States whether the received information has to be encrypted when it is retransmitted by the recipient.
120	iep2-policy	iep2-policy	permitted_actions	PERMITTED ACTIONS	States the permitted actions that Recipients can take upon information received.
121	iep2-policy	iep2-policy	affected_party_notifications	AFFECTED PARTY NOTIFICATIONS	Recipients are permitted notify affected third parties of a potential compromise or threat.
122	iep2-policy	iep2-policy	tlp	TRAFFIC LIGHT PROTOCOL	Recipients are permitted to redistribute the information received within the redistribution scope as defined by the enumerations.
123	iep2-policy	iep2-policy	attribution	ATTRIBUTION	Recipients could be required to attribute or anonymize the Provider when redistributing the information received.
124	iep2-policy	iep2-policy	unmodified_resale	UNMODIFIED RESALE	States whether the recipient MAY or MUST NOT resell the information received unmodified or in a semantically equivalent format.
125	iep2-policy	iep2-policy	external_reference	EXTERNAL REFERENCE	This statement can be used to convey a description or reference to any applicable licenses, agreements, or conditions between the producer and receiver.
126	admiralty-scale	admiralty-scale	source-reliability	Source Reliability	
127	admiralty-scale	admiralty-scale	information-credibility	Information Credibility	
128	domain-abuse	domain-abuse	domain-status	Domain status	Domain status - describes the registration status of the domain name
129	domain-abuse	domain-abuse	domain-access-method	Domain access method	Domain Access - describes how the adversary has gained access to the domain name
130	drugs	drugs	alkaloids-and-derivatives	Alkaloids and derivatives	
131	drugs	drugs	benzenoids	Benzenoids	
132	drugs	drugs	homogeneous-metal-compounds	Homogeneous metal compounds	
133	drugs	drugs	homogeneous-non-metal-compounds	Homogeneous non-metal compounds	
134	drugs	drugs	hydrocarbons	Hydrocarbons	
135	drugs	drugs	hydrocarbon-derivatives	Hydrocarbon derivatives	
136	drugs	drugs	lignans,-neolignans-and-related-compounds	Lignans, neolignans and related compounds	
137	drugs	drugs	lipids-and-lipid-like-molecules	Lipids and lipid-like molecules	
138	drugs	drugs	mixed-metal/non-metal-compounds	Mixed metal/non-metal compounds	
139	drugs	drugs	nucleosides,-nucleotides,-and-analogues	Nucleosides, nucleotides, and analogues	
140	drugs	drugs	organic-1,3-dipolar-compounds	Organic 1,3-dipolar compounds	
141	drugs	drugs	organic-acids-and-derivatives	Organic acids and derivatives	
142	drugs	drugs	organic-acids	Organic Acids	
143	drugs	drugs	organic-nitrogen-compounds	Organic nitrogen compounds	
144	drugs	drugs	organic-oxygen-compounds	Organic oxygen compounds	
145	drugs	drugs	organic-polymers	Organic Polymers	
146	drugs	drugs	organic-salts	Organic salts	
147	drugs	drugs	organohalogen-compounds	Organohalogen compounds	
148	drugs	drugs	organoheterocyclic-compounds	Organoheterocyclic compounds	
149	drugs	drugs	organometallic-compounds	Organometallic compounds	
150	drugs	drugs	organophosphorus-compounds	Organophosphorus compounds	
151	drugs	drugs	organosulfur-compounds	Organosulfur compounds	
152	drugs	drugs	phenylpropanoids-and-polyketides	Phenylpropanoids and polyketides	
153	ifx-vetting	ifx-vetting	vetted	state of the vetted intelligence	
154	ifx-vetting	ifx-vetting	score	A numerical score added by a scoring algorithm of choice. The score can either be considered by an analyst or in combination with other tags be used for automatic processing of the data.	
155	estimative-language	estimative-language	likelihood-probability	Likelihood or probability	Properly expresses and explains uncertainties associated with major analytic judgments: Analytic products should indicate and explain the basis for the uncertainties associated with major analytic judgments, specifically the likelihood of occurrence of an event or development, and the analyst's confidence in the basis for this judgment. Degrees of likelihood encompass a full spectrum from remote to nearly certain. Analysts' confidence in an assessment or judgment may be based on the logic and evidentiary base that underpin it, including the quantity and quality of source material, and their understanding of the topic. Analytic products should note causes of uncertainty (e.g., type, currency, and amount of information, knowledge gaps, and the nature of the issue) and explain how uncertainties affect analysis (e.g., to what degree and how a judgment depends on assumptions). As appropriate, products should identify indicators that would alter the levels of uncertainty for major analytic judgments. Consistency in the terms used and the supporting information and logic advanced is critical to success in expressing uncertainty, regardless of whether likelihood or confidence expressions are used.
156	estimative-language	estimative-language	confidence-in-analytic-judgment	Confidence in analytic judgment	Confidence in a judgment is based on three factors:   number of key assumptions required, the credibility and diversity of sourcing in the knowledge base, and the strength of argumentation. Each factor should be assessed independently and then in concert with the other factors to determine the confidence level. Multiple judgments in a product may contain varying levels of confidence. Confidence levels are stated as Low, Moderate, and High.
157	vmray	vmray	verdict	VMRay Verdict	
158	vmray	vmray	vti_analysis_score	VMRay Threat Identifier Analysis Score	
159	vmray	vmray	artifact	VMRay Artifact	
160	europol-incident	europol-incident	malware	Malware	
161	europol-incident	europol-incident	availability	Availability	
162	europol-incident	europol-incident	information-gathering	Gathering of information	
163	europol-incident	europol-incident	intrusion-attempt	Intrusion attempt	
164	europol-incident	europol-incident	intrusion	Intrusion	
165	europol-incident	europol-incident	information-security	Information security	
166	europol-incident	europol-incident	fraud	Fraud	
167	europol-incident	europol-incident	abusive-content	Abusive content	
168	europol-incident	europol-incident	other	Other	
169	smart-airports-threats	smart-airports-threats	human-errors	Human errors	
170	smart-airports-threats	smart-airports-threats	system-failures	System failures	
171	smart-airports-threats	smart-airports-threats	natural-and-social-phenomena	Natural and social phenomena	
172	smart-airports-threats	smart-airports-threats	third-party-failures	Third party failures	
173	smart-airports-threats	smart-airports-threats	malicious-actions	Malicious actions	
174	interactive-cyber-training-training-setup	interactive-cyber-training-training-setup	scoring	Scoring	Scoring is not only used in competition-oriented training like CTF but also to motivate participants, give feedback, track the progress. The scoring can be based, but is not limited to monitoring systems, defined objectives, or over-the-shoulder evaluation mechanisms.
175	interactive-cyber-training-training-setup	interactive-cyber-training-training-setup	roles	Roles	Participants in a training are split in different teams, according to their skills, role and tasks.
176	interactive-cyber-training-training-setup	interactive-cyber-training-training-setup	training-mode	Training Mode	Defines whether the training opposes singles persons, teams or groups.
177	interactive-cyber-training-training-setup	interactive-cyber-training-training-setup	customization-level	Customization Level	Defines the level of customization of the training.
178	runtime-packer	runtime-packer	portable-executable	Portable Executable (PE)	
179	runtime-packer	runtime-packer	elf	ELF	
180	runtime-packer	runtime-packer	cli-assembly	CLI assembly	
181	binary-class	binary-class	type	Binary Type	
182	adversary	adversary	infrastructure-status	Infrastructure Status	
183	adversary	adversary	infrastructure-action	Infrastructure Action	
184	adversary	adversary	infrastructure-state	Infrastructure State	
185	adversary	adversary	infrastructure-type	Infrastructure Type	
186	common-taxonomy	common-taxonomy	malware	Malicious software/code	Infection of one or various systems with a specific type of malware / Connection performed by/from/to (a) suspicious system(s)
187	common-taxonomy	common-taxonomy	availability	Availability	Disruption of the processing and response capacity of systems and networks in order to render them inoperative / Premeditated action to damage a system, interrupt a process, change or delete information, etc.
188	common-taxonomy	common-taxonomy	information-gathering	Information Gathering	Active and passive gathering of information on systems or networks / Unauthorised monitoring and reading of network traffic / Attempt to gather information on a user or a system through phishing methods.
189	common-taxonomy	common-taxonomy	intrusion-attempt	Intrusion Attempt	Attempt to intrude by exploiting vulnerability in a system, component or network / Attempt to log in to services or authentication/access control mechanisms.
190	common-taxonomy	common-taxonomy	intrusion	Intrusion	Actual intrusion by exploiting vulnerability in the system, component or network / Actual intrusion in a system, component or network by compromising a user or administrator account.
191	common-taxonomy	common-taxonomy	information-security	Information Security	Unauthorised access to a particular set of information / Unauthorised change or elimination of a particular set of information.
192	common-taxonomy	common-taxonomy	fraud	Fraud	Loss of property caused with fraudulent or dishonest intent of procuring, without right, an economic benefit for oneself or for another person.
193	common-taxonomy	common-taxonomy	abusive-content	Abusive Content	Sending SPAM messages / Distribution and sharing of copyright protected content / Dissemination of content forbidden by law.
194	common-taxonomy	common-taxonomy	other	Other	Incidents not classified in the existing classification.
195	fpf	fpf	degrees-of-identifiability	Degrees of identifiability	Information containing direct and indirect identifiers.
196	fpf	fpf	pseudonymous-data	Pseudonymous Data	Information from which direct identifiers have been eliminated or transformed, but indirect entifiers remain intact.
197	fpf	fpf	de-identified-data	De-identified data	Direct and known indirect identifiers have been removed or manipulated to break the linkage to real world identities.
